kind,tier,category,arch,state,date,n_patches,n_versions,series_name,web_url
noise,-,pull-request,arm,new,2025-01-10,1,1,"[GIT,PULL] ARM: aspeed: soc changes for 6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/CACPK8Xe8yZLXzEQPp=1D2f0TsKA7hBZG=pHHW6U51FMpp_BiRQ@mail.gmail.com/
noise,-,pull-request,generic,new,2025-01-10,1,1,"[GIT,PULL] Rockchip dts64 changes for 6.14 #1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/2193001.3Lj2Plt8kZ@diego/
noise,-,pull-request,generic,new,2025-01-10,1,1,"[GIT,PULL] Rockchip defconfig64 changes for 6.14 #1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/3095859.687JKscXgg@diego/
noise,-,pull-request,generic,new,2025-01-11,1,1,"[GIT,PULL] Qualcomm Arm32 DeviceTree updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250111171126.369502-1-andersson@kernel.org/
noise,-,pull-request,generic,new,2025-01-11,1,1,"[GIT,PULL] Qualcomm driver updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250111172901.391774-1-andersson@kernel.org/
noise,-,pull-request,arm,new,2025-01-11,1,1,"[GIT,PULL] Qualcomm Arm64 defconfig updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250111173306.392204-1-andersson@kernel.org/
noise,-,pull-request,generic,new,2025-01-11,1,1,"[GIT,PULL] Qualcomm clock updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250111181938.395276-1-andersson@kernel.org/
noise,-,pull-request,generic,new,2025-01-12,1,1,"[GIT,PULL] samsung: drivers: for v6.14, part two",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250112180846.64154-1-krzysztof.kozlowski@linaro.org/
noise,-,pull-request,arm,new,2025-01-12,1,1,"[GIT,PULL] ARM: mvebu: dt64 for v6.14 (#1)",https://patchwork.kernel.org/project/linux-arm-kernel/patch/87frlnygej.fsf@BLaptop.bootlin.com/
noise,-,pull-request,generic,new,2025-01-13,1,1,"[GIT,PULL] Reset controller updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250113163648.1757178-1-p.zabel@pengutronix.de/
noise,-,pull-request,generic,new,2025-01-15,1,2,"[GIT,PULL] Reset controller fixes for v6.13",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250115165404.1269500-1-p.zabel@pengutronix.de/
noise,-,pull-request,generic,new,2025-01-15,1,1,"[GIT,PULL] Reset controller updates for v6.14 (v2)",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250115170247.1303656-1-p.zabel@pengutronix.de/
noise,-,pull-request,generic,new,2025-01-17,1,1,"[GIT,PULL] pmdomain fixes for v6.13-rc8",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250117115020.131731-1-ulf.hansson@linaro.org/
noise,-,pull-request,generic,new,2025-01-17,1,1,"[GIT,PULL] soc: fixes for 6.13, part 4",https://patchwork.kernel.org/project/linux-arm-kernel/patch/99e7cf2a-2578-4b10-819a-16321a7739c7@app.fastmail.com/
noise,-,pull-request,arm,new,2025-01-20,1,1,"[GIT,PULL] arm64 updates for 6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250120185950.GA20356@willie-the-truck/
noise,-,pull-request,arm,new,2025-01-23,1,1,"[GIT,PULL] pmdomain/cpuidle-psci updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250123141540.265172-1-ulf.hansson@linaro.org/
noise,-,pull-request,arm,new,2025-01-23,1,1,"[GIT,PULL] Broadcom defconfig-arm64 changes for 6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250123203302.1491843-1-florian.fainelli@broadcom.com/
noise,-,pull-request,generic,new,2025-01-24,1,1,"[GIT,PULL] Mailbox changes for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/CABb+yY0QX4PLU1wSfz7DsXCzoeOD=VAR-E0vDH2LLtwfp8aJbw@mail.gmail.com/
noise,-,pull-request,arm,new,2025-01-28,1,2,"[GIT,PULL] KVM/arm64 updates for 6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250128110151.GA26808@willie-the-truck/
noise,-,pull-request,arm,new,2025-02-04,1,1,"[GIT,PULL] KVM/arm64 fixes for 6.14, take #1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250204155656.775615-1-maz@kernel.org/
noise,-,pull-request,generic,new,2025-02-09,1,1,"[GIT,PULL] Apple SoC DT updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250209135558.8243-1-sven@svenpeter.dev/
noise,-,pull-request,arm,new,2025-02-12,1,1,"[GIT,PULL] arm64: defconfig: Fixes for TI K3 platforms for v6.14-rc1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250212112857.pm6ptaqbx545qnv7@eternity/
noise,-,pull-request,generic,new,2025-02-12,1,1,"[GIT,PULL] IXP4xx DTS updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/CACRpkdbi_A_RCufEZSk0cEoQ_H-s0VLGUzJ9zPQECSvsUP7-dQ@mail.gmail.com/
noise,-,pull-request,generic,new,2025-02-13,1,1,"[GIT,PULL] Rockchip dts fixes for 6.14 #1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/3004814.3ZeAukHxDK@diego/
noise,-,pull-request,arm,new,2025-02-14,1,1,"[GIT,PULL] KVM/arm64 fixes for 6.14, take #2",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250214115608.2986061-1-maz@kernel.org/
noise,-,pull-request,generic,new,2025-02-17,1,1,"[GIT,PULL] firmware: arm_scmi: Fix for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250217155246.1668182-1-sudeep.holla@arm.com/
noise,-,pull-request,arm,new,2025-02-20,1,1,"[GIT,PULL] KVM/arm64 fixes for 6.14, take #3",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250220174406.749490-1-maz@kernel.org/
noise,-,pull-request,generic,new,2025-02-27,1,1,"[GIT,PULL] i.MX fixes for 6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/Z8A+rihFV4K3l8QR@dragon/
noise,-,pull-request,generic,new,2025-02-28,1,1,"[GIT,PULL] Generic entry for ARM",https://patchwork.kernel.org/project/linux-arm-kernel/patch/CACRpkdZCiiMTwf7eGJJ9aCKFOC3_xTGv1JKQUijjyp+_++cZ_A@mail.gmail.com/
noise,-,pull-request,generic,new,2025-03-02,1,1,"[GIT,PULL] Apple SoC RTKit IPC library updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250302113842.58092-1-sven@svenpeter.dev/
noise,-,pull-request,generic,new,2025-03-02,1,1,"[GIT,PULL] Second batch of Apple SoC DT updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250302115808.59172-1-sven@svenpeter.dev/
noise,-,pull-request,arm,new,2025-03-04,1,1,"[GIT,PULL] firmware: smccc: Update for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250304105845.432813-1-sudeep.holla@arm.com/
noise,-,pull-request,arm,new,2025-03-04,1,1,"[GIT,PULL] arm64: dts: juno/vexpress: Updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250304105856.432848-1-sudeep.holla@arm.com/
noise,-,pull-request,generic,new,2025-03-04,1,1,"[GIT,PULL] firmware: arm_scmi: Updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250304105915.432967-1-sudeep.holla@arm.com/
noise,-,pull-request,generic,new,2025-03-04,1,1,"[GIT,PULL] firmware: arm_ffa: Updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250304105928.432997-1-sudeep.holla@arm.com/
noise,-,pull-request,generic,new,2025-03-07,1,1,"[GIT,PULL] Renesas DTS updates for v6.15 (take two)",https://patchwork.kernel.org/project/linux-arm-kernel/patch/cover.1741362039.git.geert+renesas@glider.be/
noise,-,pull-request,arm,new,2025-03-07,1,1,"[GIT,PULL] KVM/arm64 fixes for 6.14, take #4",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250307161824.2373079-1-maz@kernel.org/
noise,-,pull-request,generic,new,2025-03-08,1,1,"[GIT,PULL] Broadcom devicetree fixes for 6.14 part 2",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250308150528.1900822-1-florian.fainelli@broadcom.com/
noise,-,pull-request,generic,new,2025-03-08,1,1,"[GIT,PULL] Rockchip dts fixes for 6.14 #2",https://patchwork.kernel.org/project/linux-arm-kernel/patch/1990830.tdWV9SEqCh@phil/
noise,-,pull-request,generic,new,2025-03-08,1,1,"[GIT,PULL] Rockchip dts64 changes for 6.15 #1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/13791512.uLZWGnKmhe@phil/
noise,-,pull-request,generic,new,2025-03-08,1,1,"[GIT,PULL] Rockchip defconfig64 changes for 6.15 #1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/3415370.aeNJFYEL58@phil/
noise,-,pull-request,generic,new,2025-03-09,1,1,"[GIT,PULL] Third and final batch of Apple SoC DT updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250309113212.48137-1-sven@svenpeter.dev/
noise,-,pull-request,generic,new,2025-03-09,1,1,"[GIT,PULL] clk: samsung: drivers for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250309175147.6672-1-krzysztof.kozlowski@linaro.org/
noise,-,pull-request,generic,new,2025-03-09,1,1,"[GIT,PULL] clk: samsung: Fixes for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250309175154.6701-1-krzysztof.kozlowski@linaro.org/
noise,-,pull-request,generic,new,2025-03-09,1,1,"[GIT,PULL] Apple SoC MAINTAINERS updates for v6.14 / arm/fixes",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250309194926.51824-1-sven@svenpeter.dev/
noise,-,pull-request,generic,new,2025-03-10,1,1,"[GIT,PULL] Qualcomm clock fix for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250310191142.1208155-1-andersson@kernel.org/
noise,-,pull-request,arm,new,2025-03-10,1,1,"[GIT,PULL] Qualcomm Arm64 Devicetree fixes for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250310191409.1208520-1-andersson@kernel.org/
noise,-,pull-request,generic,new,2025-03-11,1,1,"[GIT,PULL] Qualcomm driver fixes for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250311022509.1232678-1-andersson@kernel.org/
noise,-,pull-request,generic,new,2025-03-11,1,1,"[GIT,PULL] davinci updates for v6.15-rc1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250311115720.40053-1-brgl@bgdev.pl/
noise,-,pull-request,generic,new,2025-03-12,1,1,"[GIT,PULL] soc: ti: Driver updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250312113826.ka63nijuftgs6h52@mocker/
noise,-,pull-request,generic,new,2025-03-12,1,1,[PULL] Renesas fixes for v6.14,https://patchwork.kernel.org/project/linux-arm-kernel/patch/cover.1741785482.git.geert+renesas@glider.be/
noise,-,pull-request,generic,new,2025-03-12,1,1,"[GIT,PULL] Microchip AT91 DT updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250312173755.975074-1-claudiu.beznea@tuxon.dev/
noise,-,pull-request,generic,new,2025-03-12,1,1,"[GIT,PULL] Microchip AT91 SoC updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250312173755.975074-2-claudiu.beznea@tuxon.dev/
noise,-,pull-request,generic,accepted,2025-03-13,1,1,"[GIT,PULL] Allwinner device tree changes for 6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/Z9LTOHJDY2p0lNG0@wens.tw/
noise,-,pull-request,arm,new,2025-03-14,1,1,"[GIT,PULL] arm64: dts: ZynqMP DT changes for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/CAHTX3d+u1VmxP4vm0peQS-ST7o0BuCpKUPRVCSLMfAAb=eV3Xg@mail.gmail.com/
noise,-,pull-request,arm,new,2025-03-14,1,1,"[GIT,PULL] ARM: zynq: dts: changes for 6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/CAHTX3d+DZo3thrakBf=QCq91QFeChoizuhVa6oBBj9E+sdEXAQ@mail.gmail.com/
noise,-,pull-request,arm,new,2025-03-14,1,1,"[GIT,PULL] arm64: ZynqMP SoC changes for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/CAHTX3d+T+_zvwAVqGO+J_+Yia+wXAGsaEbPi1ye1AUYXoq6dmw@mail.gmail.com/
noise,-,pull-request,arm,new,2025-03-14,1,1,"[GIT,PULL] arm64 fixes for -rc7",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250314160458.GA9438@willie-the-truck/
noise,-,pull-request,generic,new,2025-03-14,1,1,"[GIT,PULL] Reset controller fixes for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250314164401.743984-1-p.zabel@pengutronix.de/
noise,-,pull-request,generic,new,2025-03-14,1,1,"[GIT,PULL] Reset controller updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250314164406.744117-1-p.zabel@pengutronix.de/
noise,-,pull-request,generic,new,2025-03-15,1,1,"[GIT,PULL] Rockchip dts64 changes for 6.15 #2",https://patchwork.kernel.org/project/linux-arm-kernel/patch/23866869.6Emhk5qWAg@phil/
noise,-,pull-request,generic,new,2025-03-16,1,1,"[GIT,PULL] pinctrl: samsung: drivers for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250316143108.17045-1-krzysztof.kozlowski@linaro.org/
noise,-,pull-request,generic,new,2025-03-16,1,1,"[GIT,PULL] dts: cleanups for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250316144221.18240-1-krzysztof.kozlowski@linaro.org/
noise,-,pull-request,arm,new,2025-03-16,1,1,"[GIT,PULL] ARM: mvebu: dt64 for v6.15 (#1)",https://patchwork.kernel.org/project/linux-arm-kernel/patch/87wmco99xv.fsf@BLaptop.bootlin.com/
noise,-,pull-request,generic,new,2025-03-17,1,1,"[GIT,PULL] amlogic ARM DT updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/8632a8fa-7af6-4fb7-ba87-297df4f084f5@linaro.org/
noise,-,pull-request,generic,new,2025-03-17,1,1,"[GIT,PULL] Amlogic drivers updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/eeaa8d3b-4fc3-4dae-92b8-0fc590e1a070@linaro.org/
noise,-,pull-request,generic,new,2025-03-17,1,1,"[GIT,PULL] soc: fixes for 6.14, part 2",https://patchwork.kernel.org/project/linux-arm-kernel/patch/860b2eaa-1aea-45e0-8bf5-3645b3840966@app.fastmail.com/
noise,-,pull-request,arm,new,2025-03-17,1,1,"[GIT,PULL] ARM: dts: misc. OMAP updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/7hiko7qzud.fsf@baylibre.com/
noise,-,pull-request,arm,new,2025-03-17,1,1,"[GIT,PULL] ARM: OMAP1: defconfig updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/7hcyefqzt2.fsf@baylibre.com/
noise,-,pull-request,generic,new,2025-03-17,1,1,"[GIT,PULL] Qualcomm driver updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250317210158.2025380-1-andersson@kernel.org/
noise,-,pull-request,generic,new,2025-03-17,1,1,"[GIT,PULL] Qualcomm Arm32 DeviceTree updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250317213630.2029212-1-andersson@kernel.org/
noise,-,pull-request,arm,new,2025-03-17,1,1,"[GIT,PULL] Qualcomm Arm64 DeviceTree updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250317215921.2031880-1-andersson@kernel.org/
noise,-,pull-request,generic,new,2025-03-18,1,1,"[GIT,PULL] pmdomain fixes for v6.14-rc8",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250318122548.1328552-1-ulf.hansson@linaro.org/
noise,-,pull-request,arm,new,2025-03-18,1,1,"[GIT,PULL] arm64: dts: hisilicon dts updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/67D968A9.7080504@hisilicon.com/
noise,-,pull-request,generic,new,2025-03-19,1,1,"[GIT,PULL] More Qualcomm driver updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250319142448.2279164-1-andersson@kernel.org/
noise,-,pull-request,generic,new,2025-03-19,1,1,"[GIT,PULL] More Qualcomm Arm32 Devicetree updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250319142836.2279859-1-andersson@kernel.org/
noise,-,pull-request,arm,new,2025-03-19,1,1,"[GIT,PULL] Qualcomm Arm64 defconfig updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250319144354.2281720-1-andersson@kernel.org/
noise,-,pull-request,arm,new,2025-03-19,1,1,"[GIT,PULL] More Qualcomm Arm64 Devicetree updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250319162517.2292540-1-andersson@kernel.org/
noise,-,pull-request,generic,new,2025-03-19,1,1,"[GIT,PULL] Rockchip dts64 changes for 6.15 #3",https://patchwork.kernel.org/project/linux-arm-kernel/patch/5552256.Sb9uPGUboI@phil/
noise,-,pull-request,generic,new,2025-03-22,1,1,"[GIT,PULL] Qualcomm clock updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250322133453.2723879-1-andersson@kernel.org/
noise,-,pull-request,arm,new,2025-03-25,1,1,"[GIT,PULL] pmdomain/cpuidle-psci updates for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250325121455.36031-1-ulf.hansson@linaro.org/
noise,-,pull-request,arm,new,2025-03-25,1,1,"[GIT,PULL] arm64 updates 6.15-rc1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250325195322.3243734-1-catalin.marinas@arm.com/
noise,-,pull-request,generic,new,2025-03-27,1,1,"[GIT,PULL] BPF resilient spin_lock for 6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250327144823.99186-1-alexei.starovoitov@gmail.com/
noise,-,pull-request,generic,new,2025-03-29,1,1,"[GIT,PULL] Mailbox changes for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/CABb+yY3nL=VjLZq_pDxQfr3m2-B78hiuJyEWhSNRU_zcjaQdKg@mail.gmail.com/
noise,-,pull-request,arm,new,2025-04-03,1,1,"[GIT,PULL] arm64 fixes for 6.15-rc1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/Z-5c6hCqQb3s5GxI@arm.com/
noise,-,pull-request,generic,new,2025-04-04,1,1,"[GIT,PULL] soc: drivers for 6.15, part 2",https://patchwork.kernel.org/project/linux-arm-kernel/patch/cfc8fd0d-9d32-432b-a5ba-1477265670e0@app.fastmail.com/
noise,-,pull-request,arm,new,2025-04-09,1,3,"[GIT,PULL] ARM: convert board-file GPIO chips to using new value setters",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250409083513.21115-1-brgl@bgdev.pl/
noise,-,pull-request,generic,new,2025-04-11,1,1,"[GIT,PULL] firmware: arm_scmi: Fixes for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250411093239.1060395-1-sudeep.holla@arm.com/
noise,-,pull-request,generic,new,2025-04-11,1,1,"[GIT,PULL] firmware: arm_ffa: Fix for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250411093251.1060513-1-sudeep.holla@arm.com/
noise,-,pull-request,arm,new,2025-04-11,1,1,"[GIT,PULL] arm64: dts: morello: Fix for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250411093301.1060540-1-sudeep.holla@arm.com/
noise,-,pull-request,generic,new,2025-04-23,1,1,"[GIT,PULL] Apple SoC fixes for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250423145047.3098-1-sven@svenpeter.dev/
noise,-,pull-request,generic,new,2025-04-28,1,1,"[GIT,PULL] i.MX fixes for 6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/aA8%252FfFzh22s1Vtl1@dragon/
noise,-,pull-request,generic,new,2025-04-28,1,1,"[GIT,PULL] Generic entry for ARM for v6.16",https://patchwork.kernel.org/project/linux-arm-kernel/patch/CACRpkdaAiF0=SCNBuOT7fyJwbHdMXMfBsRUiQEPnqWO-7nYz5A@mail.gmail.com/
noise,-,pull-request,generic,new,2025-05-01,1,1,"[GIT,PULL] samsung: drivers for v6.16",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250501103541.13795-2-krzysztof.kozlowski@linaro.org/
noise,-,pull-request,arm,new,2025-05-03,1,1,"[GIT,PULL] arm64 fixes for 6.15-rc5",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250503230151.2578203-1-cmarinas@kernel.org/
noise,-,pull-request,generic,new,2025-05-04,1,1,"[GIT,PULL] Rockchip dts fixes for 6.15 #1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/2923598.88bMQJbFj6@diego/
noise,-,pull-request,generic,new,2025-05-05,1,2,"[GIT,PULL] soc: fixes for 6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/a080c802-52fb-4601-8178-990494c87e5c@app.fastmail.com/
noise,-,pull-request,generic,new,2025-05-07,1,1,"[GIT,PULL] firmware: arm_scmi: Updates for v6.16",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250507134713.49039-1-sudeep.holla@arm.com/
noise,-,pull-request,generic,new,2025-05-07,1,1,"[GIT,PULL] Apple SoC device tree updates for v6.16",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250507160827.87725-1-sven@svenpeter.dev/
noise,-,pull-request,generic,new,2025-05-07,1,1,"[GIT,PULL] Rockchip dts64 changes for 6.16 #1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/2307187.iZASKD2KPV@diego/
noise,-,pull-request,generic,new,2025-05-07,1,1,"[GIT,PULL] Rockchip dts32 changes for 6.16 #1",https://patchwork.kernel.org/project/linux-arm-kernel/patch/22686731.EfDdHjke4D@diego/
noise,-,pull-request,generic,new,2025-05-09,1,1,"[GIT,PULL] hisilicon: driver updates for v6.16",https://patchwork.kernel.org/project/linux-arm-kernel/patch/681D9FC4.6080508@hisilicon.com/
noise,-,pull-request,generic,new,2025-05-09,1,1,"[GIT,PULL] Amlogic fixes for v6.15",https://patchwork.kernel.org/project/linux-arm-kernel/patch/e9c520a1-b986-49e1-b9b1-67511c187716@linaro.org/
noise,-,pull-request,arm,new,2025-05-09,1,1,"[GIT,PULL] arm64 fixes for 6.15-rc6",https://patchwork.kernel.org/project/linux-arm-kernel/patch/aB42GJfIypFqk9aC@arm.com/
noise,-,pull-request,generic,new,2025-05-10,1,1,"[GIT,PULL] i.MX fixes for 6.15, 2nd round",https://patchwork.kernel.org/project/linux-arm-kernel/patch/aB6h%252FwoeyG1bSo12@dragon/
noise,-,pull-request,arm,new,2025-05-11,1,1,"[GIT,PULL] ARM: dts: omap updates for v6.16",https://patchwork.kernel.org/project/linux-arm-kernel/patch/7hecwvrtmx.fsf@baylibre.com/
noise,-,pull-request,generic,new,2025-05-11,1,1,"[GIT,PULL] OMAP SoC updates for v6.16",https://patchwork.kernel.org/project/linux-arm-kernel/patch/7ha57jrtkl.fsf@baylibre.com/
