tier,category,arch,state,date,n_patches,n_versions,series_name,web_url
-,pull-request,arm,new,2025-06-06,1,1,"[GIT,PULL] KVM/arm64 fixes for 6.16, take #2",https://patchwork.kernel.org/project/kvm/patch/20250606094350.1318309-1-maz@kernel.org/
-,pull-request,arm,new,2025-06-19,1,1,"[GIT,PULL] KVM/arm64 fixes, take #3",https://patchwork.kernel.org/project/kvm/patch/20250619130049.3133524-1-maz@kernel.org/
-,pull-request,arm,new,2025-06-26,1,1,"[GIT,PULL] KVM/arm64 fixes for 6.16, take #4",https://patchwork.kernel.org/project/kvm/patch/20250626152023.192347-1-maz@kernel.org/
-,pull-request,x86,new,2025-06-26,1,1,"[GIT,PULL] KVM: x86: Fixes for 6.16-rcN",https://patchwork.kernel.org/project/kvm/patch/20250626223142.865249-1-seanjc@google.com/
-,pull-request,arm,new,2025-07-11,1,1,"[GIT,PULL] KVM/arm64 fixes for 6.16, take #6",https://patchwork.kernel.org/project/kvm/patch/20250711084835.2411230-1-maz@kernel.org/
-,pull-request,x86,new,2025-07-17,1,1,"[GIT,PULL] KVM: x86: TDX fixes for 6.16-rc7",https://patchwork.kernel.org/project/kvm/patch/20250717145216.85338-1-seanjc@google.com/
-,pull-request,x86,new,2025-07-25,1,1,"[GIT,PULL] KVM: x86: Local APIC refactoring for 6.17",https://patchwork.kernel.org/project/kvm/patch/20250725220713.264711-2-seanjc@google.com/
-,pull-request,x86,new,2025-07-25,1,1,"[GIT,PULL] KVM: x86: Misc changes for 6.17",https://patchwork.kernel.org/project/kvm/patch/20250725220713.264711-6-seanjc@google.com/
-,pull-request,x86,new,2025-07-25,1,1,"[GIT,PULL] KVM: x86: MMIO State Data mitigation changes for 6.17",https://patchwork.kernel.org/project/kvm/patch/20250725220713.264711-7-seanjc@google.com/
-,pull-request,x86,new,2025-07-25,1,1,"[GIT,PULL] KVM: x86: MMU changes for 6.17",https://patchwork.kernel.org/project/kvm/patch/20250725220713.264711-8-seanjc@google.com/
-,pull-request,x86,new,2025-07-25,1,1,"[GIT,PULL] KVM: x86: Selftests changes for 6.17",https://patchwork.kernel.org/project/kvm/patch/20250725220713.264711-10-seanjc@google.com/
-,pull-request,x86,new,2025-07-25,1,1,"[GIT,PULL] KVM: x86: SEV changes for 6.17",https://patchwork.kernel.org/project/kvm/patch/20250725220713.264711-11-seanjc@google.com/
-,pull-request,x86,new,2025-07-25,1,1,"[GIT,PULL] KVM: x86: SVM changes for 6.17",https://patchwork.kernel.org/project/kvm/patch/20250725220713.264711-12-seanjc@google.com/
-,pull-request,x86,new,2025-07-25,1,1,"[GIT,PULL] KVM: x86: VMX changes for 6.17",https://patchwork.kernel.org/project/kvm/patch/20250725220713.264711-13-seanjc@google.com/
-,pull-request,arm,new,2025-07-28,1,1,"[GIT,PULL] KVM/arm64 changes for 6.17, round #1",https://patchwork.kernel.org/project/kvm/patch/aIe-v1QP-VvaOONC@linux.dev/
-,pull-request,x86,new,2025-08-21,1,1,"[GIT,PULL] KVM: x86: Two KVM fixes and a selftest fix",https://patchwork.kernel.org/project/kvm/patch/20250821213051.3459190-1-seanjc@google.com/
-,pull-request,arm,new,2025-08-28,1,1,"[GIT,PULL] KVM/arm64 changes for 6.17, take #2",https://patchwork.kernel.org/project/kvm/patch/aLC1Su7FEo7XtI0K@linux.dev/
-,pull-request,arm,new,2025-09-10,1,1,"[GIT,PULL] KVM/arm64 changes for 6.17, round #3",https://patchwork.kernel.org/project/kvm/patch/aMHepH8Md9gSu2ix@linux.dev/
-,pull-request,x86,new,2025-09-16,1,1,"[GIT,PULL] KVM: x86: AVIC vTPR fix for 6.17",https://patchwork.kernel.org/project/kvm/patch/20250916003831.630382-1-seanjc@google.com/
-,pull-request,arm,new,2025-09-25,1,1,"[GIT,PULL] KVM/arm64 updates for 6.18",https://patchwork.kernel.org/project/kvm/patch/20250925182611.2585933-1-maz@kernel.org/
-,pull-request,x86,new,2025-09-27,1,1,"[GIT,PULL] x86/kvm: Guest side changes for 6.18",https://patchwork.kernel.org/project/kvm/patch/20250927060910.2933942-2-seanjc@google.com/
-,pull-request,x86,new,2025-09-27,1,1,"[GIT,PULL] KVM: x86: MMU changes for 6.18",https://patchwork.kernel.org/project/kvm/patch/20250927060910.2933942-4-seanjc@google.com/
-,pull-request,x86,new,2025-09-27,1,1,"[GIT,PULL] KVM: x86: VMX changes for 6.18",https://patchwork.kernel.org/project/kvm/patch/20250927060910.2933942-6-seanjc@google.com/
-,pull-request,x86,new,2025-09-27,1,1,"[GIT,PULL] KVM: x86: SVM changes for 6.18",https://patchwork.kernel.org/project/kvm/patch/20250927060910.2933942-7-seanjc@google.com/
-,pull-request,x86,new,2025-09-27,1,1,"[GIT,PULL] KVM: x86: SNP CipherTextHiding for 6.18",https://patchwork.kernel.org/project/kvm/patch/20250927060910.2933942-8-seanjc@google.com/
-,pull-request,x86,new,2025-09-27,1,1,"[GIT,PULL] KVM: x86: Misc changes for 6.18",https://patchwork.kernel.org/project/kvm/patch/20250927060910.2933942-9-seanjc@google.com/
-,pull-request,x86,new,2025-09-27,1,1,"[GIT,PULL] KVM: x86: CET virtualization for 6.18",https://patchwork.kernel.org/project/kvm/patch/20250927060910.2933942-10-seanjc@google.com/
-,pull-request,arm,new,2025-10-14,1,1,"[GIT,PULL] KVM/arm64 fixes for 6.18, take #1",https://patchwork.kernel.org/project/kvm/patch/20251014122857.1250976-1-maz@kernel.org/
-,pull-request,x86,new,2025-11-07,1,1,"[GIT,PULL] KVM: x86 fixes and a guest_memd fix for 6.18",https://patchwork.kernel.org/project/kvm/patch/20251107223807.860845-1-seanjc@google.com/
-,pull-request,arm,new,2025-11-08,1,1,"[GIT,PULL] KVM/arm64 fixes for 6.18, take #2",https://patchwork.kernel.org/project/kvm/patch/20251108120559.1201561-1-maz@kernel.org/
-,pull-request,arm,new,2025-11-14,1,1,"[GIT,PULL] KVM/arm64 fix for 6.18, take #3",https://patchwork.kernel.org/project/kvm/patch/20251114113415.3217950-1-maz@kernel.org/
-,pull-request,x86,new,2025-11-26,1,1,"[GIT,PULL] KVM: x86: Misc changes for 6.19",https://patchwork.kernel.org/project/kvm/patch/20251126014455.788131-4-seanjc@google.com/
-,pull-request,x86,new,2025-11-26,1,1,"[GIT,PULL] KVM: x86: MMU changes for 6.19",https://patchwork.kernel.org/project/kvm/patch/20251126014455.788131-5-seanjc@google.com/
-,pull-request,x86,new,2025-11-26,1,1,"[GIT,PULL] KVM: x86: Selftests changes for 6.19",https://patchwork.kernel.org/project/kvm/patch/20251126014455.788131-6-seanjc@google.com/
-,pull-request,x86,new,2025-11-26,1,1,"[GIT,PULL] KVM: x86: SVM changes for 6.19",https://patchwork.kernel.org/project/kvm/patch/20251126014455.788131-7-seanjc@google.com/
-,pull-request,x86,new,2025-11-26,1,1,"[GIT,PULL] KVM: x86: TDX changes for 6.19",https://patchwork.kernel.org/project/kvm/patch/20251126014455.788131-8-seanjc@google.com/
-,pull-request,x86,new,2025-11-26,1,1,"[GIT,PULL] KVM: x86: VMX changes for 6.19",https://patchwork.kernel.org/project/kvm/patch/20251126014455.788131-9-seanjc@google.com/
-,pull-request,arm,new,2025-12-01,1,1,"[GIT,PULL] KVM/arm64 updates for 6.19",https://patchwork.kernel.org/project/kvm/patch/aS32T_UxeEfbeJx6@kernel.org/
-,pull-request,x86,new,2025-12-10,1,1,"[GIT,PULL] KVM: x86 and guest_memfd fixes for 6.19",https://patchwork.kernel.org/project/kvm/patch/20251210170552.970155-1-seanjc@google.com/
-,pull-request,arm,new,2026-02-06,1,1,"[GIT,PULL] KVM/arm64 updates for 7.0",https://patchwork.kernel.org/project/kvm/patch/20260206153345.3582574-1-maz@kernel.org/
-,pull-request,x86,new,2026-02-07,1,1,"[GIT,PULL] KVM: x86: APIC related changes for 6.20",https://patchwork.kernel.org/project/kvm/patch/20260207041011.913471-2-seanjc@google.com/
-,pull-request,x86,new,2026-02-07,1,1,"[GIT,PULL] KVM: x86: Misc changes for 6.20",https://patchwork.kernel.org/project/kvm/patch/20260207041011.913471-5-seanjc@google.com/
-,pull-request,x86,new,2026-02-07,1,1,"[GIT,PULL] KVM: x86: Mediated PMU for 6.20",https://patchwork.kernel.org/project/kvm/patch/20260207041011.913471-6-seanjc@google.com/
-,pull-request,x86,new,2026-02-07,1,1,"[GIT,PULL] KVM: x86: SVM changes for 6.20",https://patchwork.kernel.org/project/kvm/patch/20260207041011.913471-8-seanjc@google.com/
-,pull-request,x86,new,2026-02-07,1,1,"[GIT,PULL] KVM: x86: VMX changes for 6.20",https://patchwork.kernel.org/project/kvm/patch/20260207041011.913471-9-seanjc@google.com/
-,pull-request,arm,new,2026-02-26,1,1,"[GIT,PULL] KVM/arm64 fixes for 7.0, take #1",https://patchwork.kernel.org/project/kvm/patch/20260226105048.28066-1-maz@kernel.org/
-,pull-request,x86,new,2026-03-05,1,1,"[GIT,PULL] KVM: x86 (and a PPC) fixes for 7.0-rc3+",https://patchwork.kernel.org/project/kvm/patch/20260305193053.1643463-1-seanjc@google.com/
-,pull-request,arm,new,2026-03-06,1,1,"[GIT,PULL] KVM/arm64 fixes for 7.0, take #2",https://patchwork.kernel.org/project/kvm/patch/20260306112231.3201502-1-maz@kernel.org/
-,pull-request,arm,new,2026-03-20,1,1,"[GIT,PULL] KVM/arm64 fixes for 7.0, take #4",https://patchwork.kernel.org/project/kvm/patch/20260320094151.2541661-1-maz@kernel.org/
-,pull-request,arm,new,2026-04-08,1,1,"[GIT,PULL] KVM/arm64 updates for 7.1",https://patchwork.kernel.org/project/kvm/patch/20260408155509.548103-1-maz@kernel.org/
-,pull-request,x86,new,2026-04-10,1,1,"[GIT,PULL] KVM: x86: A lonely fix for 7.1",https://patchwork.kernel.org/project/kvm/patch/20260410235832.2312342-2-seanjc@google.com/
-,pull-request,x86,new,2026-04-10,1,1,"[GIT,PULL] KVM: x86: Misc changes for 7.1",https://patchwork.kernel.org/project/kvm/patch/20260410235832.2312342-4-seanjc@google.com/
-,pull-request,x86,new,2026-04-10,1,1,"[GIT,PULL] KVM: x86: Emulated MMIO changes for 7.1",https://patchwork.kernel.org/project/kvm/patch/20260410235832.2312342-5-seanjc@google.com/
-,pull-request,x86,new,2026-04-10,1,1,"[GIT,PULL] KVM: x86: MMU changes for 7.1",https://patchwork.kernel.org/project/kvm/patch/20260410235832.2312342-6-seanjc@google.com/
-,pull-request,x86,new,2026-04-10,1,1,"[GIT,PULL] KVM: x86: Nested SVM changes for 7.1",https://patchwork.kernel.org/project/kvm/patch/20260410235832.2312342-7-seanjc@google.com/
-,pull-request,x86,new,2026-04-10,1,1,"[GIT,PULL] KVM: x86: SVM+SEV changes",https://patchwork.kernel.org/project/kvm/patch/20260410235832.2312342-9-seanjc@google.com/
-,pull-request,x86,new,2026-04-10,1,1,"[GIT,PULL] KVM: x86: SVM changes for 7.1 (short version)",https://patchwork.kernel.org/project/kvm/patch/20260410235832.2312342-10-seanjc@google.com/
-,pull-request,x86,new,2026-04-10,1,1,"[GIT,PULL] KVM: x86: VMX changes for 7.1",https://patchwork.kernel.org/project/kvm/patch/20260410235832.2312342-11-seanjc@google.com/
-,pull-request,x86,new,2026-04-10,1,1,"[GIT,PULL] KVM: x86: VMXON and EFER.SVME extraction for 7.1",https://patchwork.kernel.org/project/kvm/patch/20260410235832.2312342-12-seanjc@google.com/
-,pull-request,arm,new,2026-04-24,1,1,"[GIT,PULL] KVM/arm64 fixes for 7.1, take #1",https://patchwork.kernel.org/project/kvm/patch/20260424151443.750077-1-maz@kernel.org/
-,pull-request,x86,new,2026-05-03,1,1,"[GIT,PULL] Last minute KVM x86 fixes for Linux 7.1-rc2",https://patchwork.kernel.org/project/kvm/patch/20260503212815.127436-1-pbonzini@redhat.com/
-,pull-request,arm,new,2026-05-07,1,1,"[GIT,PULL] KVM/arm64 fixes for 7.1, take #2",https://patchwork.kernel.org/project/kvm/patch/20260507154221.2905554-1-maz@kernel.org/
-,pull-request,arm,new,2026-05-20,1,1,"[GIT,PULL] KVM/arm64 fixes for 7.1, take #3",https://patchwork.kernel.org/project/kvm/patch/20260520072518.504865-1-maz@kernel.org/
-,pull-request,arm,new,2026-05-29,1,1,"[GIT,PULL] KVM/arm64 fixes for 7.1, take #4",https://patchwork.kernel.org/project/kvm/patch/20260529105405.1839362-1-maz@kernel.org/
-,pull-request,x86,new,2026-05-29,1,1,"[GIT,PULL] KVM: x86: Fix for 7.1-rcN",https://patchwork.kernel.org/project/kvm/patch/20260529155523.729502-1-seanjc@google.com/
-,pull-request,arm,new,2026-06-05,1,1,"[GIT,PULL] KVM/arm64 fixes for 7.1, take #5",https://patchwork.kernel.org/project/kvm/patch/20260605164516.2214533-1-maz@kernel.org/
-,pull-request,x86,new,2026-06-12,1,1,"[GIT,PULL] KVM: x86 pull requests for 7.2",https://patchwork.kernel.org/project/kvm/patch/20260612004755.349925-1-seanjc@google.com/
-,pull-request,x86,new,2026-06-12,1,1,"[GIT,PULL] KVM: x86: Generic changes for 7.2",https://patchwork.kernel.org/project/kvm/patch/20260612004755.349925-2-seanjc@google.com/
-,pull-request,x86,new,2026-06-12,1,1,"[GIT,PULL] KVM: x86: guest_memfd changes for 7.2",https://patchwork.kernel.org/project/kvm/patch/20260612004755.349925-3-seanjc@google.com/
-,pull-request,x86,new,2026-06-12,1,1,"[GIT,PULL] KVM: x86: Misc changes for 7.2",https://patchwork.kernel.org/project/kvm/patch/20260612004755.349925-4-seanjc@google.com/
-,pull-request,x86,new,2026-06-12,1,1,"[GIT,PULL] KVM: x86: MMU changes for 7.2",https://patchwork.kernel.org/project/kvm/patch/20260612004755.349925-5-seanjc@google.com/
-,pull-request,x86,new,2026-06-12,1,1,"[GIT,PULL] KVM: x86: Selftests changes for 7.2",https://patchwork.kernel.org/project/kvm/patch/20260612004755.349925-6-seanjc@google.com/
-,pull-request,x86,new,2026-06-12,1,1,"[GIT,PULL] KVM: x86: SEV changes for 7.2",https://patchwork.kernel.org/project/kvm/patch/20260612004755.349925-7-seanjc@google.com/
-,pull-request,x86,new,2026-06-12,1,1,"[GIT,PULL] KVM: x86: SVM changes for 7.2",https://patchwork.kernel.org/project/kvm/patch/20260612004755.349925-8-seanjc@google.com/
-,pull-request,x86,new,2026-06-12,1,1,"[GIT,PULL] KVM: x86: VMX changes for 7.2",https://patchwork.kernel.org/project/kvm/patch/20260612004755.349925-10-seanjc@google.com/
-,pull-request,arm,new,2026-06-12,1,1,"[GIT,PULL] KVM/arm64 updates for 7.2",https://patchwork.kernel.org/project/kvm/patch/20260612084835.2992552-1-maz@kernel.org/
-,pull-request,arm,new,2026-06-26,1,1,"[GIT,PULL] KVM/arm64 fixes for 7.2, take #1",https://patchwork.kernel.org/project/kvm/patch/20260626133526.817232-1-maz@kernel.org/
-,pull-request,arm,new,2026-07-08,1,1,"[GIT,PULL] KVM/arm64 fixes for 7.2, take #2",https://patchwork.kernel.org/project/kvm/patch/20260708161242.1912769-1-maz@kernel.org/
?,misc,x86,new,2025-01-03,1,1,[1/1] KVM: VMX: Fix comment of handle_vmx_instruction,https://patchwork.kernel.org/project/kvm/patch/20250103153814.73903-1-gaoshiyuan@baidu.com/
?,misc,x86,new,2025-01-10,1,1,KVM: SVM: Use str_enabled_disabled() helper in svm_hardware_setup(),https://patchwork.kernel.org/project/kvm/patch/20250110101100.272312-2-thorsten.blum@linux.dev/
?,misc,x86,new,2025-01-10,29,2,Address Space Isolation (ASI),https://patchwork.kernel.org/project/kvm/patch/20250110-asi-rfc-v2-v2-13-8419288bc805@google.com/
?,misc,x86,new,2025-01-13,2,2,KVM: x86: Clean up MP_STATE transitions,https://patchwork.kernel.org/project/kvm/patch/20250113200150.487409-2-jmattson@google.com/
?,misc,x86,new,2025-01-22,1,1,KVM: x86: use kvfree_rcu to simplify the code,https://patchwork.kernel.org/project/kvm/patch/20250122073456.2950-1-lirongqing@baidu.com/
?,misc,x86,new,2025-01-24,1,1,KVM: x86: Remove unused iommu_domain and iommu_noncoherent from kvm_arch,https://patchwork.kernel.org/project/kvm/patch/20250124075055.97158-1-znscnchen@gmail.com/
?,misc,x86,new,2025-01-25,1,1,KVM: x86: Load DR6 with guest value only before entering .vcpu_run() loop,https://patchwork.kernel.org/project/kvm/patch/20250125011833.3644371-1-seanjc@google.com/
?,misc,x86,new,2025-01-26,1,1,KVM: x86/cpudid: add type suffix to decimal const 48 fix building warning,https://patchwork.kernel.org/project/kvm/patch/20250126041532.3420420-1-haifeng.zhao@linux.intel.com/
?,misc,x86,new,2025-02-04,1,1,kvm: x86: SRSO_USER_KERNEL_NO is not synthesized,https://patchwork.kernel.org/project/kvm/patch/20250204161336.251962-1-pbonzini@redhat.com/
?,misc,arm,new,2025-02-06,1,1,[v2] KVM: arm64: Remove cyclical dependency in arm_pmuv3.h,https://patchwork.kernel.org/project/kvm/patch/20250206001744.3155465-1-coltonlewis@google.com/
?,misc,x86,new,2025-02-15,3,2,x86: Bump per-CPU stack/data to 12KiB,https://patchwork.kernel.org/project/kvm/patch/20250215012032.1206409-2-seanjc@google.com/
?,misc,x86,new,2025-02-18,1,2,[final?] x86/bugs: KVM: Add support for SRSO_MSR_FIX,https://patchwork.kernel.org/project/kvm/patch/20250218111306.GFZ7RrQh3RD4JKj1lu@fat_crate.local/
?,misc,x86,new,2025-02-18,3,2,"kvm,sched: Add gtime halted",https://patchwork.kernel.org/project/kvm/patch/20250218202618.567363-3-sieberf@amazon.com/
?,misc,x86,new,2025-02-21,3,2,Unify IBRS virtualization,https://patchwork.kernel.org/project/kvm/patch/20250221163352.3818347-3-yosry.ahmed@linux.dev/
?,misc,x86,new,2025-02-21,2,2,x86: Add split/bus lock smoke test,https://patchwork.kernel.org/project/kvm/patch/20250221204148.2171418-2-seanjc@google.com/
?,misc,x86,new,2025-02-21,3,2,x86: Use macros for selectors in asm,https://patchwork.kernel.org/project/kvm/patch/20250221225406.2228938-3-seanjc@google.com/
?,misc,x86,new,2025-02-22,1,1,"[kvm-unit-tests,GIT,PULL] x86: Fixes, new tests, and more!",https://patchwork.kernel.org/project/kvm/patch/20250222014232.2301713-1-seanjc@google.com/
?,misc,x86,new,2025-02-24,1,1,"[kvm-unit-tests,RFC] x86: Fix ""debug"" test on AMD uArch",https://patchwork.kernel.org/project/kvm/patch/20250224112601.6504-1-ravi.bangoria@amd.com/
?,misc,x86,new,2025-02-24,1,1,KVM: x86: Always set mp_state to RUNNABLE on wakeup from HLT,https://patchwork.kernel.org/project/kvm/patch/20250224174156.2362059-1-seanjc@google.com/
?,misc,x86,new,2025-02-24,1,1,KVM: SVM: Inject #GP if memory operand for INVPCID is non-canonical,https://patchwork.kernel.org/project/kvm/patch/20250224174522.2363400-1-seanjc@google.com/
?,misc,x86,new,2025-02-25,2,2,KVM: SVM: Make VMGEXIT GHCB exit codes more readable,https://patchwork.kernel.org/project/kvm/patch/20250225213937.2471419-3-huibo.wang@amd.com/
?,misc,x86,new,2025-02-26,1,1,KVM: VMX: Remove EPT_VIOLATIONS_ACC_*_BIT defines,https://patchwork.kernel.org/project/kvm/patch/20250226074151.312588-1-nik.borisov@suse.com/
?,misc,x86,new,2025-02-26,2,2,kvm/x86: vhost task creation failure handling,https://patchwork.kernel.org/project/kvm/patch/20250226213844.3826821-3-kbusch@meta.com/
?,misc,x86,new,2025-02-27,1,1,KVM: VMX: Extract checks on entry/exit control pairs to a helper macro,https://patchwork.kernel.org/project/kvm/patch/20250227005353.3216123-1-seanjc@google.com/
?,misc,x86,new,2025-02-27,6,4,KVM: SVM: Fix DEBUGCTL bugs,https://patchwork.kernel.org/project/kvm/patch/20250227222411.3490595-3-seanjc@google.com/
?,misc,x86,new,2025-03-04,3,2,"KVM: x86: Optimize ""stale"" EOI bitmap exiting",https://patchwork.kernel.org/project/kvm/patch/20250304013335.4155703-3-seanjc@google.com/
?,misc,x86,new,2025-03-06,1,1,KVM: SVM: avoid frequency indirect calls,https://patchwork.kernel.org/project/kvm/patch/20250306075425.66693-1-flyingpeng@tencent.com/
?,misc,x86,new,2025-03-06,1,1,KVM: x86: block KVM_CAP_SYNC_REGS if guest state is protected,https://patchwork.kernel.org/project/kvm/patch/20250306202923.646075-1-pbonzini@redhat.com/
?,misc,x86,new,2025-03-07,1,1,KVM: x86: Forbid the use of kvm_load_host_xsave_state() with guest_state_protected,https://patchwork.kernel.org/project/kvm/patch/20250307184125.2947143-1-pbonzini@redhat.com/
?,misc,x86,new,2025-03-13,7,2,Make ASIDs static for SVM,https://patchwork.kernel.org/project/kvm/patch/20250313215540.4171762-7-yosry.ahmed@linux.dev/
?,misc,x86,new,2025-03-20,1,1,KVM: x86: Unify cross-vCPU IBPB,https://patchwork.kernel.org/project/kvm/patch/20250320013759.3965869-1-yosry.ahmed@linux.dev/
?,misc,x86,new,2025-03-24,1,1,[next] KVM: x86: Check that the high 32bits are clear in kvm_arch_vcpu_ioctl_run(),https://patchwork.kernel.org/project/kvm/patch/ec25aad1-113e-4c6e-8941-43d432251398@stanley.mountain/
?,misc,x86,new,2025-03-24,1,1,KVM: x86: clean up a return,https://patchwork.kernel.org/project/kvm/patch/7604cbbf-15e6-45a8-afec-cf5be46c2924@stanley.mountain/
?,misc,x86,new,2025-03-24,1,1,KVM: x86: Sort CPUID_8000_0021_EAX leaf bits properly,https://patchwork.kernel.org/project/kvm/patch/20250324160617.15379-1-bp@kernel.org/
?,misc,arm,new,2025-03-25,5,4,"arm64: Change the default QEMU CPU type to ""max""",https://patchwork.kernel.org/project/kvm/patch/20250325160031.2390504-7-jean-philippe@linaro.org/
?,misc,x86,new,2025-04-01,1,1,KVM: x86: Expose ARCH_CAP_FB_CLEAR when invulnerable to MDS,https://patchwork.kernel.org/project/kvm/patch/20250401044931.793203-1-jon@nutanix.com/
?,misc,x86,new,2025-04-01,1,1,KVM: x86: Acquire SRCU in KVM_GET_MP_STATE to protect guest memory accesses,https://patchwork.kernel.org/project/kvm/patch/20250401150504.829812-1-seanjc@google.com/
?,misc,x86,new,2025-04-01,2,2,KVM: VMX: Fix lockdep false positive on PI wakeup,https://patchwork.kernel.org/project/kvm/patch/20250401154727.835231-2-seanjc@google.com/
?,misc,x86,new,2025-04-01,8,4,x86/irq: KVM: Optimize KVM's PIR harvesting,https://patchwork.kernel.org/project/kvm/patch/20250401163447.846608-5-seanjc@google.com/
?,misc,x86,new,2025-04-01,1,1,KVM: VMX: Add a quirk to (not) honor guest PAT on CPUs that support self-snoop,https://patchwork.kernel.org/project/kvm/patch/20250401221107.921677-1-seanjc@google.com/
